,time,gait,r,p,y,x,y,z,wx,wy,wz,vx,vy,vz
0,1622217816.581001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1622217816.6267965,0.0,-0.09435006976127625,-0.025360524654388428,0.005771733820438385,-1.322847179296982e-07,-2.9504207973984897e-07,0.028204220583383035,-0.002853737212717533,-0.005057452246546745,0.002186241326853633,-8.893013365849228e-05,-0.00020408569835074175,-0.0005571352378076737
2,1622217816.635279,0.0,-0.09435947984457016,-0.025364745408296585,0.005760937929153442,-9.454712299530876e-07,1.025905814654171e-06,0.02820125935086713,0.002472585067152977,0.00026887026615440845,-0.0042053451761603355,-0.00015353100015366846,2.5583517731895963e-06,-0.0006177386185393701
3,1622217816.6453593,0.0,-0.09434361755847931,-0.025297721847891808,0.005776658654212952,2.5728254846729692e-06,-1.640185916043646e-06,0.028201489686902143,0.004603113979101181,0.0023993991781026125,5.5712414905428886e-05,6.363100059194185e-05,-4.680091523182843e-05,-0.00013078819866446645
4,1622217816.6552978,0.0,-0.09435468167066574,-0.025286227464675903,0.005752593278884888,1.2281582637760358e-06,-2.56127539136064e-07,0.028201437703538938,0.0014073207275941968,-0.005057452246546745,-0.0010095520410686731,0.00010382867249177862,-7.223139714078149e-05,2.849240635132113e-05
5,1622217816.665358,0.0,-0.09436281770467758,-0.025268148630857468,0.005773410201072693,1.9641788004190475e-06,1.1251953856775132e-06,0.028201263355007493,0.0014073207275941968,-0.0029269231017678976,-0.0010095520410686731,-2.013886658948271e-05,0.00014385685162429082,-9.215879463386955e-05
6,1622217816.6752017,0.0,-0.09438914060592651,-0.025274548679590225,0.005760710686445236,1.9102838888090945e-06,1.591589454258413e-06,0.028198162870502287,-0.002853737212717533,0.008790985681116581,0.003251505782827735,3.940313900672478e-05,2.8139737746530285e-05,-0.0001410722096477744
7,1622217816.685242,0.0,-0.09440386295318604,-0.02527044340968132,0.005796615034341812,2.119389301655228e-06,9.326562815867301e-07,0.028201008027509036,0.003537849523127079,-0.003992187790572643,0.006447299383580685,4.7312479221057236e-05,-2.3319542072681316e-05,5.13157074369512e-05
8,1622217816.6954968,0.0,-0.09441237151622772,-0.025263652205467224,0.00576680526137352,3.1629005743105676e-06,1.657541510297067e-07,0.028199637747491138,0.0003420562716200948,0.0013341347221285105,-0.009531667456030846,-1.414279232110811e-05,-3.573213532718477e-05,-1.5533013847528205e-05
9,1622217816.7053509,0.0,-0.09442927688360214,-0.025241678580641747,0.0057752616703510284,3.2907903607798383e-06,2.8492239345714876e-06,0.02820240996565055,-0.006049530580639839,0.0023993991781026125,0.004316770471632481,-9.937974057580601e-06,3.376713865503336e-05,8.941782884489821e-05
