,time,gait,r,p,y,x,y,z,wx,wy,wz,vx,vy,vz
0,1622191056.871565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1622191075.8593183,0.0,-0.039208151400089264,-0.011597687378525734,0.01844456046819687,0.0,0.0,0.0,-0.007572750560939312,0.006772099062800407,0.003833780065178871,1.5480845597900336e-05,4.919765609753361e-05,-9.599387003479653e-07
2,1622191075.8694375,0.0,-0.039211664348840714,-0.01159297302365303,0.01843573898077011,0.0,0.0,0.0,-0.007572750560939312,0.0003805123269557953,0.002768515609204769,1.9079626780418506e-05,6.560814267434732e-05,-2.471120289307222e-06
3,1622191075.8792877,0.0,-0.03922554478049278,-0.011580935679376125,0.018429823219776154,0.0,0.0,0.0,-0.005442221648991108,-0.0017500165849924088,-0.003623071126639843,1.812132178027796e-05,5.8663161709559437e-05,-1.5984860144084155e-06
4,1622191075.8889973,0.0,-0.039224229753017426,-0.011573415249586105,0.01842404156923294,0.0,0.0,0.0,0.0009493650868535042,-0.007076338864862919,0.007029573433101177,1.898483868295127e-05,5.316328223323505e-05,2.82526146513567e-07
5,1622191075.8991833,0.0,-0.03922316059470177,-0.011600266210734844,0.018405742943286896,0.0,0.0,0.0,-0.00011589936912059784,-0.009206867776811123,0.0006379866972565651,1.7966220479825746e-05,4.8068292729937175e-05,1.30477452389431e-06
6,1622191075.9088182,0.0,-0.039209622889757156,-0.01159515418112278,0.01840868592262268,0.0,0.0,0.0,-0.003311692737042904,-0.0028152810409665108,0.003833780065178871,1.7664516327503382e-05,4.1314450894584315e-05,1.9967482986716615e-06
7,1622191075.91918,0.0,-0.03923221677541733,-0.01162860356271267,0.018394991755485535,0.0,0.0,0.0,0.002014629542827606,-0.0006847521290183067,0.0017032511532306671,1.9975111883622163e-05,3.950958561647429e-05,8.094990136466338e-07
8,1622191075.9288805,0.0,-0.039259523153305054,-0.01164831779897213,0.018388159573078156,0.0,0.0,0.0,-0.0011811638250946999,-0.0028152810409665108,0.003833780065178871,2.1603378927361958e-05,4.102386499166489e-05,-1.9645544504123373e-06
9,1622191075.9388227,0.0,-0.039248090237379074,-0.011634872294962406,0.018406793475151062,0.0,0.0,0.0,-0.007572750560939312,0.0025110412389039993,-0.003623071126639843,1.4093380798697075e-05,3.095638769381433e-05,-9.182873957032141e-07
10,1622191075.9490087,0.0,-0.03925831615924835,-0.011638252064585686,0.01840146631002426,0.0,0.0,0.0,-0.009703279472887516,-0.007076338864862919,-0.005753600038588047,1.7668521789890562e-05,4.716208916126116e-05,-1.5235761806741052e-07
11,1622191075.958864,0.0,-0.03927721455693245,-0.011657610535621643,0.01839575171470642,0.0,0.0,0.0,-0.005442221648991108,-0.003880545496940613,0.004899044521152973,1.763150786013975e-05,5.2323011089951196e-05,-3.4506364474356445e-08
12,1622191075.9705234,0.0,-0.03928685188293457,-0.01167047955095768,0.0184004008769989,0.0,0.0,0.0,-0.007572750560939312,0.00783736351877451,-0.001492542214691639,2.7911840712574577e-05,9.30858554984714e-05,9.389987423170248e-07
13,1622191075.9790761,0.0,-0.03929077088832855,-0.011704632081091404,0.018414437770843506,0.0,0.0,0.0,-0.0011811638250946999,0.0003805123269557953,-0.004688335582613945,1.605749384655344e-05,5.9858888291712066e-05,1.9997260502256216e-06
14,1622191075.9889545,0.0,-0.039285559207201004,-0.011684952303767204,0.018428541719913483,0.0,0.0,0.0,-0.005442221648991108,0.0014457767829298973,0.002768515609204769,1.4314502990366211e-05,5.622414054427728e-05,3.282601207287713e-06
15,1622191075.9990668,0.0,-0.03927766531705856,-0.011690915562212467,0.018415890634059906,0.0,0.0,0.0,-0.005442221648991108,0.0003805123269557953,-0.002557806670665741,1.3249222528981097e-05,6.0244934256224196e-05,1.0122656570024752e-07
16,1622191076.008852,0.0,-0.03926989436149597,-0.011702421121299267,0.018420591950416565,0.0,0.0,0.0,0.0030798939988017082,-0.009206867776811123,0.003833780065178871,1.095217619204584e-05,5.7440688312273164e-05,-4.056232776018712e-06
17,1622191076.019195,0.0,-0.039245907217264175,-0.011755289509892464,0.01842261105775833,0.0,0.0,0.0,-0.004376957193017006,-0.0017500165849924088,0.003833780065178871,1.4006574238364217e-05,6.055596842602246e-05,-7.467627442268087e-06
18,1622191076.029121,0.0,-0.03925088793039322,-0.011729138903319836,0.01839897781610489,0.0,0.0,0.0,-0.002246428281068802,-0.0006847521290183067,-0.00042727772961370647,1.7683571997334365e-05,6.0659520431857104e-05,-8.482736036722517e-06
19,1622191076.0393043,0.0,-0.03925910219550133,-0.011755757965147495,0.018383800983428955,0.0,0.0,0.0,-0.009703279472887516,-0.008141603320837021,-0.006818864494562149,2.0285654588430836e-05,5.8169585386417405e-05,-3.999809197929344e-06
20,1622191076.0491598,0.0,-0.03927319869399071,-0.011788344010710716,0.018384866416454315,0.0,0.0,0.0,-0.008638015016913414,0.0035763056948781013,0.007029573433101177,1.569880102736083e-05,4.778165226838484e-05,-2.027921459808347e-06
21,1622191076.0591106,0.0,-0.03921369090676308,-0.011906678788363934,0.01840672641992569,-0.00037330394468836764,0.0056749587057518674,0.05974421364280251,0.01479780301451683,-0.12638595700263977,0.017682218924164772,-0.0009189721358862554,0.010783526790554146,0.12646660571997634
22,1622191076.0696077,0.0,-0.04285402595996857,-0.01000240072607994,0.01682458072900772,0.0005500305733978986,0.005716383743345689,0.06423614123430735,-0.25577935576438904,0.14632174372673035,-0.08884422481060028,-0.002415226627747456,0.030909127817063904,0.3559201455507973
23,1622191076.0822806,0.0,-0.040329691022634506,-0.011570806615054607,0.018332675099372864,0.001036256392932547,0.003714124859941839,0.07414937783901217,0.21187172830104828,0.4137031137943268,0.0187474824488163,0.06237590474187682,-0.05134791101239061,0.5578170171893955
24,1622191076.0890028,0.0,-0.04379809647798538,-0.007504437584429979,0.018825359642505646,0.001300899756977926,0.0034325026928008207,0.07595358928066792,-0.36656686663627625,0.6107770800590515,0.2701498866081238,0.059968482099481336,-0.09904606684023928,0.6044676041197377
25,1622191076.1004279,0.0,-0.04149831086397171,-0.003474243450909853,0.021121300756931305,0.0016944843301414242,0.0034322177707175466,0.07543084050734877,0.5399731993675232,0.23793449997901917,0.2563014626502991,0.05634835638299402,-0.043428474835221685,0.2313782713094276
26,1622191076.109176,0.0,-0.04075316712260246,-0.0010509199928492308,0.02330855280160904,0.0019001329094366776,0.0037096733099887605,0.07532346762330204,0.2438296526670456,0.20171549916267395,0.2509751319885254,0.034272462938125324,0.010095014292156276,-0.023643903407038244
27,1622191076.1190937,0.0,-0.03755015879869461,-0.0012257493799552321,0.024941153824329376,0.001944482021539004,0.003376297961682012,0.07641616402606141,0.3769877254962921,0.030207917094230652,0.0879896730184555,0.017963082167845697,0.002271052481880791,0.03253382659201824
28,1622191076.1289847,0.0,-0.03465653955936432,-0.0010121691739186645,0.025310374796390533,0.0021066511495697743,0.0028817777970280636,0.07778841558279886,0.3876403570175171,0.04938267916440964,-0.01747150905430317,0.010180266624263336,-0.04024379454880734,0.12012094563045454
