,time,gait,r,p,y,x,y,z,wx,wy,wz,vx,vy,vz
0,1623510920.8843539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1623510920.95814,0.0,-0.0421634167432785,-0.07207635790109634,0.008203959092497826,1.2786906255293773e-06,7.796025114359395e-07,0.07372409341907862,-0.0005011003231629729,-0.00040939077734947205,-0.004032452125102282,0.00013323177611636674,0.00017768358835873642,2.4709444089492874e-05
2,1623510920.965776,0.0,-0.042176976799964905,-0.07204809039831161,0.00819297693669796,1.1421896159644063e-06,1.8313971827388364e-06,0.07372535639864732,-0.001566364779137075,0.001721138134598732,-0.005097716581076384,9.489605550871352e-05,0.00016282382623711804,0.00011047052473507373
3,1623510920.975553,0.0,-0.04217510297894478,-0.07203885912895203,0.008160321041941643,2.8283998955574985e-06,5.498910097545551e-07,0.0737240760517915,0.0026946929283440113,-0.002539919689297676,-0.0029671876691281796,6.562555685318018e-05,1.920329462812066e-05,-4.4726647358784476e-05
4,1623510920.9857235,0.0,-0.04215560108423233,-0.07206269353628159,0.008182712830603123,1.3597591272535015e-06,9.869838352161153e-08,0.0737257672603413,0.0005641641328111291,-0.007866241969168186,0.0012938702711835504,-2.1521915665063266e-05,-0.00010552589777050876,-0.00013745633757286633
5,1623510920.9961276,0.0,-0.04215653985738754,-0.07209055125713348,0.008179488591849804,-4.1075073380081317e-07,-7.563434560459159e-07,0.07372408901447355,-0.002631629351526499,-0.00040939077734947205,-0.005097716581076384,-0.0002013447617510989,-0.00013721245875421428,6.323461621663028e-05
6,1623510921.005578,0.0,-0.04217910021543503,-0.07208942621946335,0.00816856138408184,-2.1379868838516947e-07,7.771388371713428e-07,0.07372256884459792,0.0005641641328111291,0.002786402590572834,-0.007228245493024588,-0.00013442205886212994,-1.8736664622882667e-05,-5.140629285645237e-05
7,1623510921.0150168,0.0,-0.04218140244483948,-0.07209543883800507,0.008152469992637634,-9.86802099561812e-07,6.768959145281306e-07,0.07372558682643236,-0.0005011003231629729,-0.00467044860124588,-0.0029671876691281796,3.560382796314138e-05,2.4127743902372066e-05,2.8891533167246025e-05
8,1623510921.0248284,0.0,-0.04219459742307663,-0.07209597527980804,0.008163009770214558,-6.65963451981777e-07,1.9082328002878457e-06,0.07372248104415788,-0.003696893807500601,0.00065587367862463,0.00022860581520944834,2.6598499320349247e-05,1.0796480249477462e-05,3.582512791045551e-05
9,1623510921.0354428,0.0,-0.04218381643295288,-0.07210135459899902,0.008179034106433392,-1.4732291270733167e-06,2.1462911776598537e-06,0.07372562658469442,0.005890486296266317,-0.00040939077734947205,-0.006162981037050486,-4.078861007493317e-05,-1.79143353926736e-05,4.797705214686099e-05
10,1623510921.044887,0.0,-0.0421723835170269,-0.07210856676101685,0.00816827081143856,-9.222210312076484e-07,3.3407875016377986e-07,0.07372259792358908,0.0005641641328111291,-0.001474655233323574,-0.006162981037050486,-7.733663651702173e-05,-0.00010204547960654659,7.875992819791257e-05
11,1623510921.054986,0.0,-0.042165666818618774,-0.07208701223134995,0.008180861361324787,-5.528352014505522e-07,-3.54355788712013e-07,0.07372293912548951,-0.004762158263474703,0.002786402590572834,0.00022860581520944834,0.00023486158383303208,-0.00021535395253424454,5.955127011149209e-05
12,1623510921.0648625,0.0,-0.042187079787254333,-0.07207252085208893,0.008169994689524174,6.460889543091763e-07,1.3687040361365366e-06,0.07372560259203238,0.0026946929283440113,-0.001474655233323574,0.0012938702711835504,0.0002876072946785308,-3.919108592503715e-05,0.00026271614129833406
13,1623510921.07486,0.0,-0.042177580296993256,-0.0720573365688324,0.00818808563053608,9.11044229230662e-07,1.7734055719337283e-06,0.07372698453995619,-0.001566364779137075,-0.001474655233323574,0.00022860581520944834,2.64030355180573e-05,7.366593007427609e-05,0.00015410774326002103
14,1623510921.0848637,0.0,-0.04217417165637016,-0.07204987108707428,0.008154078386723995,1.6048637378196506e-06,2.647264486496659e-06,0.07372553997069402,0.006955750752240419,-0.002539919689297676,0.0023591346107423306,3.5259656336947284e-05,-3.476823052027323e-07,-9.756343176747388e-06
15,1623510921.0949872,0.0,-0.04218416288495064,-0.07205832004547119,0.008148841559886932,2.0881860918267603e-06,1.7471317625417093e-06,0.07372446875771596,-0.004762158263474703,-0.001474655233323574,0.0012938702711835504,6.276588741925971e-06,-2.4498694592481007e-05,-6.440653307789902e-05
16,1623510921.1048164,0.0,-0.042172469198703766,-0.07207375019788742,0.008140871301293373,1.1232050943013605e-06,1.341609768043539e-06,0.07372263994411254,0.0016294285887852311,-0.001474655233323574,0.0012938702711835504,-6.709594143825889e-05,-3.4851762235288304e-05,-7.600278172619671e-05
17,1623510921.114939,0.0,-0.04216016083955765,-0.07207132130861282,0.00814503338187933,1.9868125358743494e-06,-2.0755150087758967e-06,0.07372607914718825,-0.0005011003231629729,-0.011062035337090492,0.007685456890612841,2.1385423504103876e-05,-0.0001695600235358604,-2.8188459265924328e-05
18,1623510921.124857,0.0,-0.0421697199344635,-0.07211367785930634,0.008161673322319984,-7.295170748045088e-07,-7.77577005006691e-08,0.07372291134314092,0.008021015673875809,-0.007866241969168186,0.0012938702711835504,-9.88603706457271e-05,-7.264517075409178e-05,-5.103071472591728e-06
19,1623510921.1349018,0.0,-0.042181722819805145,-0.0721304714679718,0.00815476756542921,-2.7218938220482936e-06,1.9032764509568922e-06,0.07372425044843912,0.0026946929283440113,-0.005735713057219982,-0.007228245493024588,-0.0002823998538475765,4.6371384891736586e-05,-6.8002760260647e-05
20,1623510921.144925,0.0,-0.042167872190475464,-0.07213134318590164,0.008130133152008057,-2.6766667746841444e-06,-1.2442441057192166e-06,0.07372445819313582,0.0037599573843181133,-0.008931506425142288,-0.004032452125102282,-0.00012675360065767343,-5.886452625782506e-05,-8.631144087099927e-06
21,1623510921.1551266,0.0,-0.042152997106313705,-0.07218078523874283,0.00812144298106432,-7.093515047948418e-06,-3.203464693096736e-07,0.07372312436460257,0.0005641641328111291,-0.011062035337090492,-0.004032452125102282,-0.00012581383311436472,-0.00015147962991763603,1.1001164719143553e-05
22,1623510921.1649113,0.0,-0.04216092824935913,-0.07220427691936493,0.008120226673781872,-7.952634087829424e-06,3.0807889493666973e-07,0.0737244270555668,0.0026946929283440113,-0.00467044860124588,0.006620192434638739,-0.00024686286786718516,-6.383220210460678e-05,6.79658422188734e-05
23,1623510921.1749296,0.0,-0.04216616600751877,-0.07220534980297089,0.008130975067615509,-8.518032005667975e-06,7.929403746248509e-07,0.07372277139201393,-0.0005011003231629729,0.003851667046546936,0.005554927978664637,-0.00015763893835211165,3.0080295134851508e-05,-5.520882176793482e-05
24,1623510921.1848466,0.0,-0.042172517627477646,-0.07224412262439728,0.00810585729777813,-1.042050293902086e-05,9.219115695846547e-08,0.0737214721685432,0.004825221840292215,-0.001474655233323574,0.00022860581520944834,-0.00019601741885899205,2.8005132796494206e-05,-0.00013559189951468508
25,1623510921.1950305,0.0,-0.042164772748947144,-0.0722140222787857,0.008151791989803314,-8.086770640264307e-06,5.760017412065332e-07,0.07372290587424715,0.0005641641328111291,-0.002539919689297676,0.00022860581520944834,-3.7263076227052385e-06,4.23688343522438e-05,3.823116694542597e-05
26,1623510921.204964,0.0,-0.04216308146715164,-0.07218711823225021,0.008151618763804436,-5.668132466572773e-06,1.5074995137476233e-06,0.07372132428046875,-0.002631629351526499,0.01130851823836565,0.005554927978664637,0.00014821185071535432,-1.2723380919120465e-05,5.2398638171821434e-05
27,1623510921.2149124,0.0,-0.04216085746884346,-0.0721646398305893,0.008166608400642872,-3.755095977366063e-06,-8.116001623675873e-07,0.07372159545944504,0.0016294285887852311,-0.001474655233323574,0.0034243990667164326,0.00018949784579982978,-7.211519261345014e-05,-2.322979867532275e-05
28,1623510921.2248576,0.0,-0.04216383397579193,-0.07218918949365616,0.00814600195735693,-6.597880782381604e-06,-5.254173686131125e-07,0.07372295113607069,0.004825221840292215,-0.001474655233323574,-0.0029671876691281796,-4.321756574746524e-05,-2.6211300345861317e-05,4.497400316921054e-05
