,time,gait,r,p,y,x,yy,z,wx,wy,wz,vx,vy,vz
0,1626611112.5261965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1626611112.5721834,0.0,-0.041869692504405975,-0.02029683254659176,0.006109863985329866,1.7126459538607808e-06,-1.2256766077772818e-06,0.06287524673972796,-0.001227930304594338,-0.0016904785297811031,-0.0018881814321503043,0.00046112909643849186,-0.0003321268004310519,9.637608995497108e-05
2,1626611112.5823479,0.0,-0.04185180738568306,-0.02030477672815323,0.006098377518355846,1.580481703400416e-06,1.522123900185579e-07,0.06287344454511239,0.0030331274028867483,-0.003821007441729307,0.003438140731304884,0.00018538757025296558,-9.524622784575755e-05,-4.710538653730214e-05
3,1626611112.5921662,0.0,-0.04182279855012894,-0.0202997587621212,0.006094953510910273,-1.0847649963702244e-07,-2.189405948309353e-06,0.06287825959653216,0.0009025986073538661,0.001505314838141203,-0.008279767818748951,-0.00010819022884992929,-0.00010966824208394055,0.00010899103597047706
4,1626611112.6022842,0.0,-0.04185538366436958,-0.02029823325574398,0.006126021035015583,2.093347869595863e-06,-9.510203757556734e-07,0.06287365902212436,-0.00016266586317215115,-0.008082065731287003,-0.007214503828436136,-3.639033970412999e-05,-0.00011385012085528653,8.197619963484132e-05
5,1626611112.612224,0.0,-0.04186871647834778,-0.02028798498213291,0.0061171832494437695,2.201415236088855e-06,-4.175369701375775e-08,0.0628736136146755,0.005163656547665596,-0.003821007441729307,0.005568669643253088,2.6711280345588695e-05,7.232843591352288e-05,-0.00021718083473051982
6,1626611112.6223288,0.0,-0.04185042902827263,-0.020261941477656364,0.0061258794739842415,5.215818756072743e-06,-2.224356812283168e-06,0.06287382793304376,0.0030331274028867483,-0.004886271897703409,-0.002953446004539728,4.523467128034759e-05,-2.311527130074568e-05,-0.00011344486823597558
7,1626611112.6323152,0.0,-0.0418400876224041,-0.020229989662766457,0.006118279416114092,6.157002520518207e-06,-2.6509410206987383e-06,0.06287362691011902,0.0019678629469126463,0.001505314838141203,0.004503405187278986,0.00014390857854533237,-0.00011508230602186526,-2.5759710715678114e-05
8,1626611112.6422985,0.0,-0.041859496384859085,-0.02023797668516636,0.006131633184850216,4.290591287446632e-06,-1.462456517949129e-06,0.06287357126707237,-0.002293194876983762,-0.010212594643235207,-0.00401871046051383,-1.828619311773471e-05,3.7342864067033685e-05,-8.93244780340414e-06
9,1626611112.6529844,0.0,-0.04184984788298607,-0.020220741629600525,0.006119311321526766,6.224521959433127e-06,-2.2395372883260434e-06,0.06287521381197268,0.0019678629469126463,0.001505314838141203,0.003438140731304884,-3.777050039685229e-05,7.855212696226609e-06,0.000105532794985144
