,time,gait,r,p,y,x,yy,z,wx,wy,wz,vx,vy,vz
0,1625570259.8050077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1625570259.8677676,0.0,-0.04966575279831886,0.012141802348196507,0.005986431613564491,3.5877492683134005e-06,4.36959812488702e-06,0.08593368078947825,0.0036669597029685974,-0.0020889907609671354,-0.0008708542445674539,-0.00020455324297710955,0.0004035499406176295,0.000348778196029351
2,1625570259.8781934,0.0,-0.04964720457792282,0.012148887850344181,0.006000598892569542,4.142931268706629e-06,3.549791146521819e-06,0.08593132849517526,0.00047116633504629135,-0.0031542552169412374,0.002324939239770174,-8.030341224495775e-05,0.00016799916366278713,4.3065459980887515e-05
3,1625570259.887589,0.0,-0.04966098070144653,0.012175624258816242,0.006011068355292082,7.423001082459968e-06,3.850509865246932e-06,0.08593099159257278,0.0036669597029685974,0.004302595742046833,0.00019441021140664816,0.00011013161422139282,-3.630445314117777e-05,0.00010020177307355333
4,1625570259.8975167,0.0,-0.049663394689559937,0.012164712883532047,0.0060117607936263084,5.613187800582176e-06,2.9454502120870862e-06,0.08592976102437555,0.0036669597029685974,0.0021720670629292727,0.0012596746673807502,2.6301074589061555e-05,-2.2157732694362103e-05,6.435802604268736e-05
5,1625570259.9076223,0.0,-0.04965871945023537,0.012181141413748264,0.006007977295666933,7.916125487644754e-06,3.671061181598212e-06,0.0859310460846569,-0.0016593625769019127,-0.0010237263049930334,-0.003001383040100336,-1.4585453129607458e-05,-5.171865347824502e-05,-6.516693778456616e-06
6,1625570259.9176683,0.0,-0.04963242635130882,0.012161577120423317,0.006022045388817787,5.116814366191991e-06,1.2238827932428697e-06,0.0859333021877042,0.004732224158942699,-0.004219519905745983,-0.0008708542445674539,4.266300049104488e-06,-0.00010950743307394512,9.450093558294808e-05
7,1625570259.9275825,0.0,-0.049648623913526535,0.012182259000837803,0.00602974696084857,7.789566593502384e-06,2.7180273043866943e-06,0.08593122044159905,0.00047116633504629135,0.0011068026069551706,-0.00513191195204854,-4.376071223082004e-05,-0.00011012696638503043,3.7796198835734748e-06
8,1625570259.9375706,0.0,-0.04964360594749451,0.012210370041429996,0.0060231322422623634,1.0282687993537487e-05,3.3575929974591356e-06,0.08593118989146016,0.0036669597029685974,-0.0031542552169412374,0.00019441021140664816,0.00016193056036021118,3.4203180950995396e-05,-6.0443995804306924e-05
9,1625570259.9476502,0.0,-0.04965507984161377,0.012201528064906597,0.006029048468917608,7.386436774080296e-06,2.1383285571316413e-06,0.08593288489968984,0.0026016952469944954,-0.0020889907609671354,-0.0008708542445674539,1.9354029033157922e-05,5.181058799058605e-06,5.380751756664605e-05
10,1625570259.957579,0.0,-0.04965658858418465,0.012215986847877502,0.00603695772588253,1.0986235641934072e-05,4.374973686771533e-06,0.08593573602407037,0.0057974886149168015,-0.0031542552169412374,0.002324939239770174,4.35756073131576e-05,9.543781294825849e-05,0.00017884515084731032
11,1625570259.9675782,0.0,-0.049656447023153305,0.012194473296403885,0.006016676779836416,7.808175254843397e-06,3.375722446942453e-06,0.0859356341632809,0.0026016952469944954,0.0021720670629292727,-0.0008708542445674539,-0.0004295232500786568,0.00021216081886307102,0.0004449344705659711
12,1625570259.9775362,0.0,-0.04966015741229057,0.012194656766951084,0.006006032228469849,8.928296732248209e-06,4.718056709547558e-06,0.08593431103618879,0.004732224158942699,-0.0031542552169412374,-0.004066647496074438,-0.0006036774304641776,0.0001311147574389968,0.0002808114598960156
13,1625570259.987662,0.0,-0.04965593293309212,0.012190491892397404,0.006008467171341181,9.458885020269259e-06,4.303356450408025e-06,0.08593138006231796,0.0015364307910203934,-0.004219519905745983,0.00552073260769248,-2.2711252039409196e-05,5.611682020825403e-06,-8.451587586515636e-05
14,1625570259.9974968,0.0,-0.04967036098241806,0.012193575501441956,0.005992376245558262,9.134327303511602e-06,4.74577071612331e-06,0.08593595966379323,0.0026016952469944954,-0.0010237263049930334,-0.0019361187005415559,-3.37573781759311e-05,-1.896013269113472e-05,0.00010060673202182982
15,1625570260.0075026,0.0,-0.049665745347738266,0.012196185067296028,0.005996685940772295,9.187834195331646e-06,3.252493581948346e-06,0.08593453246473053,0.00047116633504629135,0.0011068026069551706,0.0012596746673807502,-3.3229441472839754e-05,1.6046630395487742e-06,6.85531417904069e-05
16,1625570260.017417,0.0,-0.0496675930917263,0.012231707572937012,0.006006895564496517,1.2470688380505912e-05,5.34900166050678e-06,0.08593016107737078,0.0015364307910203934,-0.010611106641590595,0.003390203695744276,0.00017597117007078948,2.217243686413141e-05,-0.00017457549231058472
17,1625570260.0275743,0.0,-0.049651600420475006,0.012261253781616688,0.0060473219491541386,1.4364096405955484e-05,2.9529896973523595e-06,0.08593141727438383,0.008993281982839108,0.0011068026069551706,0.008716525509953499,0.00020588187417548454,-7.276338673668824e-07,-0.0001759287652093325
18,1625570260.037499,0.0,-0.049652013927698135,0.012263213284313679,0.006050471216440201,1.3315853732334682e-05,3.937618250106356e-06,0.08593580811092674,0.0026016952469944954,0.0011068026069551706,0.00019441021140664816,4.7567239800188957e-05,-5.833034451093546e-05,-4.9005938491695845e-05
19,1625570260.047567,0.0,-0.049658745527267456,0.012285704724490643,0.006055769044905901,1.6398167361285354e-05,4.5655256250901055e-06,0.08593291327398644,0.0015364307910203934,0.0011068026069551706,0.004455468151718378,6.623531030798886e-05,5.400547902393001e-05,8.972705921845434e-05
