,time,gait,r,p,y,x,y,z,wx,wy,wz,vx,vy,vz
0,1622103088.7158062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1622103088.7831898,0.0,-0.012831500731408596,-0.013367954641580582,0.00740837212651968,-5.269155280984705e-07,-7.021149351568723e-07,0.05608961563153515,0.000433136650826782,-5.390029400587082e-07,-0.0062709990888834,-0.0001454419296344276,-0.00014982938062230004,0.0007199167484608141
2,1622103088.793341,0.0,-0.012840121053159237,-0.013362905941903591,0.007424156181514263,1.0444910753665271e-07,7.870814592025877e-07,0.05609102811777505,0.001498401165008545,-0.0031963323708623648,0.0033163810148835182,-8.207401174606327e-05,-3.576784150821892e-05,0.00040195817243785057
3,1622103088.8029065,0.0,-0.012822262942790985,-0.013378039002418518,0.007419888861477375,-7.218138806316943e-07,-1.9286374269844586e-07,0.05608812656173203,0.006824723444879055,0.0010647254530340433,-0.002009941264986992,-9.565458004645849e-05,1.700494753481513e-05,-0.00022085631225068954
4,1622103088.8130002,0.0,-0.012846264988183975,-0.013382123783230782,0.007407987490296364,-1.3228860952785304e-06,1.1901202442293757e-07,0.05608951743933444,0.004694194532930851,-0.0021310679148882627,0.00012058764696121216,-6.438049722964414e-05,2.8119128828980944e-05,-9.05807489823036e-05
5,1622103088.8228283,0.0,-0.0128475995734334,-0.013397900387644768,0.007409092970192432,-2.2572000626108757e-06,1.2158691968938706e-06,0.05608943153944306,-0.003827921114861965,-0.0010658034589141607,-0.002009941264986992,-4.358843932989193e-05,6.390689900031891e-05,-4.62072153338141e-05
6,1622103088.8330047,0.0,-0.012839121744036674,-0.013381095603108406,0.007384144701063633,-1.7922098419984045e-06,6.818054840845855e-07,0.05608810527044362,-0.00063212780514732,-0.0074573904275894165,0.005446909926831722,-1.3097065349634175e-05,-2.973717916962467e-06,-2.8863934586767786e-05
7,1622103088.8428538,0.0,-0.012835759669542313,-0.01337188109755516,0.007381761446595192,-1.7923420549195712e-06,-4.791659975744711e-07,0.05608959749290278,0.004694194532930851,-0.0074573904275894165,0.00012058764696121216,1.4507634748554628e-05,-5.714731959775182e-05,4.923618534362605e-05
8,1622103088.8529994,0.0,-0.012830192223191261,-0.01341177336871624,0.007384279742836952,-3.4963368263987715e-06,-1.8152445288507901e-06,0.05609127019009154,-0.002762656658887863,-0.0031963323708623648,-0.005205734632909298,-0.0001377657764223548,-9.397976777026553e-05,4.935478249718552e-05
9,1622103088.8630028,0.0,-0.012823238968849182,-0.013438992202281952,0.007366307079792023,-4.310698735174312e-06,9.080897040436575e-07,0.05608959902180035,-0.002762656658887863,-0.0074573904275894165,-0.0009446768090128899,-0.00018654418721463615,1.0149304555471629e-05,-3.819547100368471e-05
10,1622103088.8730254,0.0,-0.012819190509617329,-0.013444292359054089,0.00737905316054821,-4.595252129688254e-06,-4.4395932105589786e-07,0.05608977503526745,0.004694194532930851,-0.0042615970596671104,-0.003075205720961094,-9.309854099976912e-05,6.989301159691306e-05,-0.0001088354285771702
11,1622103088.8828683,0.0,-0.012803995981812477,-0.013472679071128368,0.007391042076051235,-5.262143148665466e-06,-1.2835467365843178e-06,0.056089921304258994,0.003628930076956749,-0.0010658034589141607,0.0011858521029353142,-0.0001875093079963488,-9.084581559349906e-05,0.0001208481016345013
12,1622103088.893016,0.0,-0.012813000939786434,-0.013477595522999763,0.00738988071680069,-6.619590060749636e-06,-1.8495793537576244e-06,0.05609298700491849,0.000433136650826782,0.0031952543649822474,0.00012058764696121216,-0.00020539789640476412,-4.9232831600598014e-05,0.00020889961274516054
13,1622103088.902873,0.0,-0.01282563991844654,-0.013467386364936829,0.007398173213005066,-7.419816503158316e-06,-1.0251855713239166e-06,0.05608694308029348,-0.003827921114861965,-0.0074573904275894165,0.005446909926831722,-5.26599406693023e-05,5.3860634942449166e-05,-6.550019329207342e-05
14,1622103088.912927,0.0,-0.012829138897359371,-0.013507013209164143,0.007380296476185322,-7.954414242901386e-06,1.2742794465447904e-07,0.05608972578578325,0.001498401165008545,-0.0074573904275894165,-0.003075205720961094,-8.277862415294057e-05,8.834821171600581e-05,-0.0001421995145931377
15,1622103088.9228847,0.0,-0.012826913967728615,-0.013528270646929741,0.007372939959168434,-8.70002948424875e-06,-1.0643855577197048e-06,0.05609141338098689,0.000433136650826782,-0.0021310679148882627,-0.002009941264986992,-0.00013430202264042872,3.254522414179002e-06,0.00014802330118156968
16,1622103088.9352036,0.0,-0.012825435027480125,-0.013532526791095734,0.0073759900406003,-1.0222990514702213e-05,-1.2269249854285347e-07,0.05608838428050305,-0.002762656658887863,-5.390029400587082e-07,-0.002009941264986992,-0.0001672998437925519,-2.7959658803169374e-05,-3.859369688972517e-05
17,1622103088.94813,0.0,-0.012826179154217243,-0.01356134470552206,0.007357995957136154,-9.879481686819735e-06,-1.7190251293264236e-07,0.05609296973811535,0.002563665620982647,-0.0031963323708623648,-0.002009941264986992,-9.561088401730093e-05,2.9946623514531253e-05,6.89896694627704e-05
18,1622103088.9581664,0.0,-0.012831115163862705,-0.013572386465966702,0.007365444675087929,-1.1737041924045344e-05,-9.15444327800885e-07,0.056093004788985296,-0.0016973922029137611,-0.0010658034589141607,0.0011858521029353142,-6.227832788044033e-05,-4.980660431649912e-05,0.0002168198650057705
19,1622103088.9697926,0.0,-0.012835619039833546,-0.013561155647039413,0.007368331775069237,-1.054820136824064e-05,4.287689073442791e-07,0.056091296216905215,0.000433136650826782,-0.0053268615156412125,-0.0062709990888834,-4.097826006718337e-05,-1.2893188009663942e-05,1.4108281037201138e-05
20,1622103088.9811008,0.0,-0.012851402163505554,-0.013586328364908695,0.00734920147806406,-1.3094404482008604e-05,1.2641203559274339e-06,0.056088265601720436,-0.0016973922029137611,-0.0053268615156412125,0.00012058764696121216,-7.303865514345977e-05,8.002780243649126e-05,-0.00016425494153583117
21,1622103088.9997742,0.0,-0.012874099425971508,-0.013565106317400932,0.0073806848376989365,-1.0845263347790401e-05,1.579009122100461e-06,0.05609108402514509,-0.005958450026810169,-0.0021310679148882627,0.00438164547085762,-0.00010337090127265146,6.698234010785536e-05,-9.553006016602292e-05
22,1622103089.0112748,0.0,-0.012862791307270527,-0.013592036440968513,0.007353025488555431,-1.4523242197764241e-05,9.096641748057577e-07,0.05609120108940498,0.001498401165008545,-0.0053268615156412125,-0.007336263544857502,-9.286530922779509e-05,-7.576228192003182e-06,1.784088590671734e-06
23,1622103089.019539,0.0,-0.01286972127854824,-0.013591799885034561,0.00734536349773407,-1.335165759098339e-05,2.3203910748462175e-06,0.05609107733424054,0.002563665620982647,0.0021299899090081453,0.008642703294754028,-9.378288368719557e-05,3.1657491587749465e-06,-1.2559408764454286e-05
24,1622103089.0296323,0.0,-0.012869143858551979,-0.013583468273282051,0.007338661700487137,-1.3211730331405547e-05,1.266938389761496e-06,0.056086681180533726,-0.0016973922029137611,0.0010647254530340433,0.0011858521029353142,7.315162498708051e-05,-5.5483327798250285e-05,-1.0260214828455982e-05
25,1622103089.0394616,0.0,-0.012872000224888325,-0.013566924259066582,0.007341471500694752,-1.0618728389824583e-05,1.316315502201959e-06,0.05609122970717704,0.000433136650826782,-0.0031963323708623648,0.0033163810148835182,0.00015878755736986147,-6.291842200883257e-05,-6.700605677983724e-05
26,1622103089.0493846,0.0,-0.012854774482548237,-0.01355727855116129,0.007355093955993652,-1.0833951544025888e-05,2.415093713140082e-06,0.05608961545666749,0.003628930076956749,-0.011718448251485825,0.0011858521029353142,0.00013510867551436032,3.724479373619631e-05,-5.10328580553301e-06
27,1622103089.0593522,0.0,-0.0128780547529459,-0.013582807965576649,0.007368155755102634,-1.428136912701855e-05,1.7580914170312045e-06,0.05608825617410933,-0.002762656658887863,-0.0010658034589141607,0.005446909926831722,-0.00018507353339672526,-2.7010718639991662e-05,-6.19117356352936e-05
28,1622103089.0693252,0.0,-0.012875574640929699,-0.0136043606325984,0.007326656021177769,-1.4506805921576937e-05,3.5052149025341373e-06,0.0560896421244492,0.005759458988904953,-0.0010658034589141607,0.0011858521029353142,-0.00019262866403274044,-4.108919068403702e-06,-1.41587465290263e-05
29,1622103089.079499,0.0,-0.01289278268814087,-0.013622656464576721,0.0073182666674256325,-1.4957880706829851e-05,2.5595039663886543e-06,0.056088129992512385,0.003628930076956749,-0.0042615970596671104,-0.0062709990888834,-3.100407684656027e-05,3.0945638478232947e-05,2.55989289460223e-05
30,1622103089.0893347,0.0,-0.012898191809654236,-0.013632853515446186,0.007317260839045048,-1.5378854433520384e-05,2.89396482903298e-06,0.05609090345935401,0.004694194532930851,-0.0053268615156412125,0.008642703294754028,-6.806156347422649e-05,-3.125236106458029e-05,4.490839897011506e-05
31,1622103089.0994709,0.0,-0.012870780192315578,-0.013635162264108658,0.007326839491724968,-1.481073567206892e-05,2.2757694292108166e-06,0.05608965890367882,0.002563665620982647,-5.390029400587082e-07,0.00012058764696121216,2.9321840149544504e-05,7.4219916351141645e-06,0.00014003644533551414
32,1622103089.1093936,0.0,-0.012900996021926403,-0.01364392414689064,0.007324688136577606,-1.604301754125348e-05,5.079957617545872e-06,0.05608780763090822,0.004694194532930851,-0.0010658034589141607,0.0011858521029353142,6.740361103313976e-06,7.231745665274007e-05,2.0582079710528438e-05
33,1622103089.1221788,0.0,-0.012899201363325119,-0.013644645921885967,0.007292426191270351,-1.510187896613946e-05,4.832636745465135e-06,0.05608933457238316,0.000433136650826782,0.0010647254530340433,-0.003075205720961094,-4.4467658543017786e-05,5.690328280596547e-05,-3.5169274651819084e-05
34,1622103089.1352568,0.0,-0.012875924818217754,-0.013594435527920723,0.007288817316293716,-1.1757135255488493e-05,2.464705650899457e-06,0.05609114286674091,0.002563665620982647,0.0010647254530340433,0.006512174382805824,0.00012610719628428687,-0.00011124783875840586,0.00011424651224923603
35,1622103089.1490326,0.0,-0.012851499021053314,-0.013570200651884079,0.0072775352746248245,-1.2046119276055978e-05,1.4152370211156784e-07,0.05608982059849039,0.003628930076956749,0.0010647254530340433,0.005446909926831722,0.0001251801244124405,-0.0001728782951033523,3.6392487043769186e-05
36,1622103089.1610153,0.0,-0.012865971773862839,-0.013501129113137722,0.007304114289581776,-7.756189340790698e-06,9.395260635244873e-07,0.056091111647500684,0.000433136650826782,-0.0010658034589141607,-0.003075205720961094,0.00016676217827193873,-7.166459776094832e-05,1.5345214235530295e-06
37,1622103089.172579,0.0,-0.01283211074769497,-0.013509613461792469,0.007310338318347931,-6.773784211093481e-06,-9.258353813115794e-07,0.0560870590383288,0.006824723444879055,0.0010647254530340433,0.002251116558909416,0.00019701858329659283,-6.97274836958309e-05,-9.959483417162034e-05
