sim_time, big_dog?world_pose/orientation/pitch
206.596, 0.0169317
206.597, 0.0170208
206.598, 0.0171059
206.599, 0.0171867
206.6, 0.0172639
206.601, 0.0173376
206.602, 0.0174083
206.603, 0.0174764
206.604, 0.0175422
206.605, 0.0176059
206.606, 0.0176677
206.607, 0.0177226
206.608, 0.0177753
206.609, 0.0178261
206.61, 0.0178767
206.611, 0.0179242
206.612, 0.0179683
206.613, 0.0180091
206.614, 0.0180285
206.615, 0.0180424
206.616, 0.0180518
206.617, 0.0180564
206.618, 0.0180577
206.619, 0.0180545
206.62, 0.0180476
206.621, 0.018037
206.622, 0.0180228
206.623, 0.0180052
206.624, 0.0179842
206.625, 0.0179599
206.626, 0.0179324
206.627, 0.0179016
206.628, 0.0178677
206.629, 0.0178307
206.63, 0.0177906
206.631, 0.0177314
206.632, 0.0176555
206.633, 0.0175637
206.634, 0.0174544
206.635, 0.0173297
206.636, 0.0171909
206.637, 0.0170425
206.638, 0.0168848
206.639, 0.0167176
206.64, 0.0165405
206.641, 0.0163535
206.642, 0.0161566
206.643, 0.01595
206.644, 0.0157335
206.645, 0.0155073
206.646, 0.0152711
206.647, 0.0150251
206.648, 0.0147695
206.649, 0.0145044
206.65, 0.014237
206.651, 0.0139667
206.652, 0.0136934
206.653, 0.0134168
206.654, 0.013137
206.655, 0.012854
206.656, 0.0125679
206.657, 0.0122784
206.658, 0.0119856
206.659, 0.0116894
206.66, 0.0113888
206.661, 0.0110862
206.662, 0.0107814
206.663, 0.0104741
206.664, 0.0101643
206.665, 0.00985177
206.666, 0.00953647
206.667, 0.00921831
206.668, 0.00889558
206.669, 0.00856835
206.67, 0.00823695
206.671, 0.00790207
206.672, 0.0075638
206.673, 0.00722197
206.674, 0.00687669
206.675, 0.00652806
206.676, 0.00617613
206.677, 0.00582099
206.678, 0.00546245
206.679, 0.00510059
206.68, 0.00473549
206.681, 0.00436737
206.682, 0.00399592
206.683, 0.00363157
206.684, 0.00327344
206.685, 0.00292125
206.686, 0.0025749
206.687, 0.00223423
206.688, 0.00189913
206.689, 0.00156952
206.69, 0.0012453
206.691, 0.000926401
206.692, 0.000612674
206.693, 0.000303891
206.694, 7.15948e-09
206.695, -0.000299027
206.696, -0.000593519
206.697, -0.000883475
206.698, -0.00116891
206.699, -0.00144985
206.7, -0.00172637
206.701, -0.00199886
206.702, -0.00226727
206.703, -0.00253157
206.704, -0.00279177
206.705, -0.00304784
206.706, -0.00329981
206.707, -0.00354768
206.708, -0.00379172
206.709, -0.00403198
206.71, -0.00426845
206.711, -0.00449961
206.712, -0.00472634
206.713, -0.00494898
206.714, -0.00516775
206.715, -0.00538287
206.716, -0.0055945
206.717, -0.00580278
206.718, -0.00600781
206.719, -0.00620533
206.72, -0.00639586
206.721, -0.00658005
206.722, -0.00675814
206.723, -0.00693013
206.724, -0.00709604
206.725, -0.00725592
206.726, -0.00740981
206.727, -0.00755783
206.728, -0.00770001
206.729, -0.00783638
206.73, -0.007967
206.731, -0.00809196
206.732, -0.00821129
206.733, -0.00832503
206.734, -0.00843323
206.735, -0.00853338
206.736, -0.00862724
206.737, -0.00871575
206.738, -0.00879913
206.739, -0.00887766
206.74, -0.00895158
206.741, -0.00902111
206.742, -0.00908643
206.743, -0.0091477
206.744, -0.00920505
206.745, -0.00925862
206.746, -0.00930849
206.747, -0.00935477
206.748, -0.00939754
206.749, -0.00943688
206.75, -0.00947291
206.751, -0.00950564
206.752, -0.00953514
206.753, -0.00956141
206.754, -0.00958448
206.755, -0.00960438
206.756, -0.00962113
206.757, -0.00963478
206.758, -0.00964537
206.759, -0.00965292
206.76, -0.0096575
206.761, -0.00965914
206.762, -0.00965788
206.763, -0.00965363
206.764, -0.00964656
206.765, -0.00963756
206.766, -0.00962661
206.767, -0.00961372
206.768, -0.00959894
206.769, -0.00958696
206.77, -0.00957719
206.771, -0.00956939
206.772, -0.00956346
206.773, -0.00955932
206.774, -0.0095569
206.775, -0.00955592
206.776, -0.0095564
206.777, -0.00955837
206.778, -0.00956181
206.779, -0.00956674
206.78, -0.00957313
206.781, -0.00958093
206.782, -0.00959012
206.783, -0.00960067
206.784, -0.00961256
206.785, -0.00962576
206.786, -0.00964025
206.787, -0.00965601
206.788, -0.00967301
206.789, -0.00969123
206.79, -0.00971066
206.791, -0.00973128
206.792, -0.00975308
